Designator,Mid X,Mid Y,Layer,Rotation
C108,39.37,119.38,Top,270.0
C109,31.75,107.95,Top,270.0
C110,31.75,111.76,Top,270.0
C111,31.75,115.57,Top,270.0
C112,31.75,119.38,Top,270.0
C113,24.13,107.95,Top,270.0
C114,24.13,111.76,Top,270.0
C115,24.13,115.57,Top,270.0
C116,24.13,119.38,Top,270.0
C117,15.88,107.95,Top,270.0
C118,15.88,111.76,Top,270.0
C119,15.88,115.57,Top,270.0
C120,15.88,119.38,Top,270.0
C121, 8.26,107.95,Top,270.0
C122, 8.26,111.76,Top,270.0
C123, 8.26,115.57,Top,270.0
C124, 8.26,119.38,Top,270.0
D1,57.79,107.95,Top,270.0
D2,149.22,107.95,Top,270.0
D3,149.22,111.76,Top,270.0
D4,149.22,115.57,Top,270.0
D5,149.22,119.38,Top,270.0
D6,141.61,107.95,Top,270.0
D7,141.61,111.76,Top,270.0
D8,141.61,115.57,Top,270.0
D9,141.61,119.38,Top,270.0
D10,133.99,107.95,Top,270.0
D11,133.99,111.76,Top,270.0
D12,133.99,115.57,Top,270.0
D13,133.99,119.38,Top,270.0
D14,126.37,107.95,Top,270.0
D15,126.37,111.76,Top,270.0
D16,126.37,115.57,Top,270.0
D17,126.37,119.38,Top,270.0
D18,118.75,107.95,Top,270.0
D19,118.75,111.76,Top,270.0
D20,118.75,115.57,Top,270.0
D21,118.75,119.38,Top,270.0
D22,111.13,107.95,Top,270.0
D23,111.13,111.76,Top,270.0
D24,111.13,115.57,Top,270.0
D25,111.13,119.38,Top,270.0
D26,103.51,107.95,Top,270.0
D27,103.51,111.76,Top,270.0
D28,103.51,115.57,Top,270.0
D29,103.51,119.38,Top,270.0
D30,95.89,107.95,Top,270.0
D31,95.89,111.76,Top,270.0
D32,95.89,115.57,Top,270.0
D33,95.89,119.38,Top,270.0
D34,88.27,107.95,Top,270.0
D35,88.27,111.76,Top,270.0
D36,88.27,115.57,Top,270.0
D37,88.27,119.38,Top,270.0
D38,80.65,107.95,Top,270.0
